Pertanyaan,Jawaban
Cara daftar di FinBuddy gimana?,"Kunjungi halaman registrasi, masukkan email dan kata sandi, lalu ikuti petunjuk verifikasi."
Bagaimana prosedur registrasi akun di FinBuddy?,"Kunjungi halaman registrasi, masukkan email dan kata sandi, lalu ikuti petunjuk verifikasi."
"Bro, cara bikin akun di FinBuddy gmana sih?","Kunjungi halaman registrasi, masukkan email dan kata sandi, lalu ikuti petunjuk verifikasi."
Gimana cara buat akun baru?,"Kunjungi halaman registrasi, masukkan email dan kata sandi, lalu ikuti petunjuk verifikasi."
"Kalau lupa password, apa yang harus dilakukan?","Klik 'Lupa Password' di halaman login, masukkan email, dan ikuti instruksi untuk reset."
Bagaimana cara mereset kata sandi akun?,"Klik 'Lupa Password' di halaman login, masukkan email, dan ikuti instruksi untuk reset."
"Lupa kata sandi, dong, apa yang kudu dilakuin?","Klik 'Lupa Password' di halaman login, masukkan email, dan ikuti instruksi untuk reset."
Cara ganti password FinBuddy gimana?,"Masuk ke pengaturan akun, pilih 'Ubah Kata Sandi', masukkan kata sandi lama dan baru."
Bagaimana prosedur mengganti kata sandi?,"Masuk ke pengaturan akun, pilih 'Ubah Kata Sandi', masukkan kata sandi lama dan baru."
"Bro, ganti password di FinBuddy caranya apa?","Masuk ke pengaturan akun, pilih 'Ubah Kata Sandi', masukkan kata sandi lama dan baru."
Cara ubah profil di FinBuddy?,"Buka menu 'Profil', edit informasi seperti nama atau nomor telepon, lalu simpan."
Bagaimana mengedit data profil pengguna?,"Buka menu 'Profil', edit informasi seperti nama atau nomor telepon, lalu simpan."
"Gimana cara update profil, bro?","Buka menu 'Profil', edit informasi seperti nama atau nomor telepon, lalu simpan."
Kenapa gak bisa login ke akun?,"Pastikan email dan kata sandi benar, atau klik 'Lupa Password' untuk reset."
Apa yang harus dilakukan jika login gagal?,"Pastikan email dan kata sandi benar, atau klik 'Lupa Password' untuk reset."
"Bro, akun FinBuddy gue gak bisa masuk, kenapa?","Pastikan email dan kata sandi benar, atau klik 'Lupa Password' untuk reset."
Cara lihat dashboard keuangan di FinBuddy?,"Login ke akun Anda, lalu klik 'Dashboard' untuk melihat grafik dan label keuangan."
Bagaimana cara mengakses dashboard keuangan?,"Login ke akun Anda, lalu klik 'Dashboard' untuk melihat grafik dan label keuangan."
"Bro, dashboard di FinBuddy dibuka gimana?","Login ke akun Anda, lalu klik 'Dashboard' untuk melihat grafik dan label keuangan."
Gimana cara cek pie chart keuangan?,"Login ke akun Anda, lalu klik 'Dashboard' untuk melihat grafik dan label keuangan."
"Apa itu label hemat, sedang, boros?",Label ini menunjukkan perilaku keuangan Anda berdasarkan pemasukan dan pengeluaran bulanan.
Label keuangan di dashboard artinya apa?,Label ini menunjukkan perilaku keuangan Anda berdasarkan pemasukan dan pengeluaran bulanan.
"Hemat, sedang, boros itu maksudnya apa, bro?",Label ini menunjukkan perilaku keuangan Anda berdasarkan pemasukan dan pengeluaran bulanan.
Apa maksud pie chart di dashboard?,"Pie chart menunjukkan proporsi pengeluaran Anda per kategori, seperti makanan atau transportasi."
Pie chart di FinBuddy itu apa sih?,"Pie chart menunjukkan proporsi pengeluaran Anda per kategori, seperti makanan atau transportasi."
"Bro, grafik pie di dashboard ngapain?","Pie chart menunjukkan proporsi pengeluaran Anda per kategori, seperti makanan atau transportasi."
Kenapa dashboard saya kosong?,Pastikan Anda sudah menginput data pemasukan dan pengeluaran di menu 'Input Data'.
Apa yang harus dilakukan kalau dashboard gak muncul?,Pastikan Anda sudah menginput data pemasukan dan pengeluaran di menu 'Input Data'.
"Dashboard gue kosong, bro, kenapa ya?",Pastikan Anda sudah menginput data pemasukan dan pengeluaran di menu 'Input Data'.
Cara input pemasukan di FinBuddy?,"Di menu 'Input Data', pilih 'Pemasukan', masukkan jumlah dan sumber, lalu simpan."
Bagaimana cara memasukkan data pendapatan?,"Di menu 'Input Data', pilih 'Pemasukan', masukkan jumlah dan sumber, lalu simpan."
"Bro, cara masukin duit ke FinBuddy gmana?","Di menu 'Input Data', pilih 'Pemasukan', masukkan jumlah dan sumber, lalu simpan."
Gimana cara tambah data gaji?,"Di menu 'Input Data', pilih 'Pemasukan', masukkan jumlah dan sumber, lalu simpan."
Cara masukkan pengeluaran per item?,"Di menu 'Input Data', pilih 'Pengeluaran', masukkan jumlah, item, dan kategori, lalu simpan."
Bagaimana cara input data pengeluaran?,"Di menu 'Input Data', pilih 'Pengeluaran', masukkan jumlah, item, dan kategori, lalu simpan."
"Bro, cara nambah pengeluaran di FinBuddy gimana?","Di menu 'Input Data', pilih 'Pengeluaran', masukkan jumlah, item, dan kategori, lalu simpan."
Cara pilih kategori pengeluaran?,"Saat input pengeluaran, pilih kategori seperti 'Makanan', 'Transportasi', atau 'Hiburan' dari dropdown."
Bagaimana menentukan kategori untuk pengeluaran?,"Saat input pengeluaran, pilih kategori seperti 'Makanan', 'Transportasi', atau 'Hiburan' dari dropdown."
"Bro, kategori pengeluaran di FinBuddy dipilih gimana?","Saat input pengeluaran, pilih kategori seperti 'Makanan', 'Transportasi', atau 'Hiburan' dari dropdown."
Kenapa data pengeluaran saya gak tersimpan?,"Pastikan semua kolom terisi dan klik 'Simpan'. Jika masih bermasalah, hubungi support."
Apa yang dilakukan kalau data pengeluaran hilang?,"Pastikan semua kolom terisi dan klik 'Simpan'. Jika masih bermasalah, hubungi support."
"Bro, pengeluaran gue gak kesimpen, kenapa?","Pastikan semua kolom terisi dan klik 'Simpan'. Jika masih bermasalah, hubungi support."
Cara lihat mutasi keuangan di FinBuddy?,Buka menu 'Mutasi Keuangan' untuk melihat riwayat pemasukan dan pengeluaran Anda.
Bagaimana cara cek riwayat transaksi keuangan?,Buka menu 'Mutasi Keuangan' untuk melihat riwayat pemasukan dan pengeluaran Anda.
"Bro, mutasi keuangan di FinBuddy diliat dimana?",Buka menu 'Mutasi Keuangan' untuk melihat riwayat pemasukan dan pengeluaran Anda.
Gimana cara tahu transaksi terakhir?,Buka menu 'Mutasi Keuangan' untuk melihat riwayat pemasukan dan pengeluaran Anda.
Apa itu mutasi keuangan?,Mutasi keuangan adalah daftar semua pemasukan dan pengeluaran yang Anda input di FinBuddy.
Mutasi keuangan di FinBuddy itu apa sih?,Mutasi keuangan adalah daftar semua pemasukan dan pengeluaran yang Anda input di FinBuddy.
"Bro, mutasi keuangan maksudnya apa?",Mutasi keuangan adalah daftar semua pemasukan dan pengeluaran yang Anda input di FinBuddy.
