anchor,positive,negative
ini website apa sih?,Apa itu FinBuddy?,Apakah FinBuddy berbayar?
fitur apa aja yang ada ?,Ini ada fitur apa aja?,Cara daftar di FinBuddy gimana?
fiturnya apa ae deh?,Ini ada fitur apa aja?,Gimana cara buat akun baru?
fiturnya apa aja sih?,Ini ada fitur apa aja?,Bagaimana cara mereset kata sandi akun?
ini punya fitur apa webnya?,Ini ada fitur apa aja?,Gimana cara cek pie chart keuangan?
fitur apa aja disini?,Ini ada fitur apa aja?,Apa yang harus dilakukan kalau dashboard gak muncul?
aku pengen daftar akun gimana ya?,Cara daftar di FinBuddy gimana?,Cara lihat mutasi keuangan di FinBuddy?
gimana cara daftar akun?,Bagaimana prosedur registrasi akun di FinBuddy?,Bagaimana cara cek riwayat transaksi keuangan?
bingung daftar akun?,"Bro, cara bikin akun di FinBuddy gmana sih?","Bro, mutasi keuangan di FinBuddy diliat dimana?"
panduan daftar akun gimana ya?,Gimana cara buat akun baru?,Gimana cara tahu transaksi terakhir?
aduh aku lupa pasword gimana ya,"Kalau lupa password, apa yang harus dilakukan?","Bro, grafik pie di dashboard ngapain?"
aku pengen ganti password,Bagaimana cara mereset kata sandi akun?,Cara input pemasukan di FinBuddy?
cara ganti password gimana,"Lupa kata sandi, dong, apa yang kudu dilakuin?",Kenapa data pengeluaran saya gak tersimpan?
passwordku eror pengen ganti,"Kalau lupa password, apa yang harus dilakukan?",Cara lihat mutasi keuangan di FinBuddy?
aduh informasi identitasku belum bener pengen benerin,Cara ubah profil di FinBuddy?,Apa itu mutasi keuangan?
mau update identitas,Cara ubah profil di FinBuddy?,Gimana cara cek saran keuangan?
cara perbarui profile gimana,Bagaimana mengedit data profil pengguna?,"Bagaimana perbedaan mode ngirit, normal, mewah?"
pengen ganti profile dah,"Gimana cara update profil, bro?",Apa itu FinBuddy?
Eh kok login terus gagal ya ada yang tau gimana biar bisa masuk?,Kenapa gak bisa login ke akun?,"Bro, pake FinBuddy kudu bayar gak?"
Lah kok nggak bisa login sih aku udah ngetik bener tapi tetep aja ditolak?,Apa yang harus dilakukan jika login gagal?,Kenapa website FinBuddy lemot?
Ada yang pernah ngalamin gagal login mulu gimana cara ngatasinnya sih?,"Bro, akun FinBuddy gue gak bisa masuk, kenapa?",Apa FinBuddy bisa digunakan secara offline?
Login terus error padahal password pasti bener mungkin-mungkin apa ya masalahnya?,Kenapa gak bisa login ke akun?,Mode mewah di FinBuddy itu apa?
Temen-temen pas mau login malah error terus ada yang punya solusi?,Apa yang harus dilakukan jika login gagal?,Apa fungsi utama FinBuddy?
halo min aku mau lihat ringkasan keuangan di FinBuddy tapi bingung caranya gimana ya,Cara lihat dashboard keuangan di FinBuddy?,Bagaimana cara login jika saya berganti perangkat?
eh bot bisa bantu? aku udah buka aplikasi FinBuddy tapi nggak nemu dashboard keuangannya,Bagaimana cara mengakses dashboard keuangan?,Gimana cara buat akun baru?
hai ada tips gak biar bisa liat data keuangan di FinBuddy dari hp aja,"Bro, dashboard di FinBuddy dibuka gimana?",Apa itu mutasi keuangan?
"halo halo admin atau bot FinBuddy, tolong dong kasih tau cara buka halaman utama keuangan",Cara lihat dashboard keuangan di FinBuddy?,Kenapa website FinBuddy lemot?
"permisi min, aku klik sana klik sini di FinBuddy tapi kok nggak keluar dashboardnya, salah di mana ya",Bagaimana cara mengakses dashboard keuangan?,Cara ubah profil di FinBuddy?
ada berapa mode rekomendasi sih disini?,"Apa itu label hemat, sedang, boros?","Kalau lupa password, apa yang harus dilakukan?"
rekomendasi apa ya maksudnya ini?,Rekomendasi gunanya apa?,Cara daftar di FinBuddy gimana?
ini rekomendasi apa?,Rekomendasi gunanya apa?,"Bro, cara bikin akun di FinBuddy gmana sih?"
"halo bro, bisa jelasin gak maksud dari status hemat, sedang, sama boros di FinBuddy?","Hemat, sedang, boros itu maksudnya apa, bro?",Kenapa gak bisa login ke akun?
"mas/mbak admin, istilah hemat, sedang, boros di aplikasi ini artinya gimana sih?","Hemat, sedang, boros itu maksudnya apa, bro?",Bagaimana prosedur mengganti kata sandi?
"ada yang tau gak tuh di FinBuddy kok ada label hemat, sedang, boros? buat apa itu?","Hemat, sedang, boros itu maksudnya apa, bro?","Bro, cara bikin akun di FinBuddy gmana sih?"
"bro, aku bingung nih, kenapa pengeluaran aku dikasih label boros. Itu pertanda apa ya?","Hemat, sedang, boros itu maksudnya apa, bro?","Gimana cara update profil, bro?"
"eh min, bisa jelasin gak perbedaan status hemat, sedang, sama boros di sini biar paham","Hemat, sedang, boros itu maksudnya apa, bro?",Kenapa gak bisa login ke akun?
"Halo min, pie chart di FinBuddy tuh buat apa ya? Aku liat ada grafik lingkaran gitu",Pie chart di FinBuddy itu apa sih?,Apa yang harus dilakukan jika login gagal?
"Ada yang tau gak tuh di FinBuddy kok ada diagram lingkaran, itu nunjukin apa?",Pie chart di FinBuddy itu apa sih?,"Bro, akun FinBuddy gue gak bisa masuk, kenapa?"
"Eh bro, aku buka menu keuangan ada pie chart tapi bingung bacanya. Itu maksudnya apa?",Pie chart di FinBuddy itu apa sih?,Apa itu FinBuddy?
"Min tolong jelasin dong, kenapa di halaman utama FinBuddy ada grafik bulat-bulat?",Pie chart di FinBuddy itu apa sih?,FinBuddy itu apa sih?
Yang pake FinBuddy pada ngerti gak sih arti dari diagram lingkarannya? Boleh minta pencerahan,Pie chart di FinBuddy itu apa sih?,"Bro, FinBuddy itu apaan?"
"Halo min, kok pas dibuka halaman utama FinBuddy malah kosong? Harus ngapain ya?",Apa yang harus dilakukan kalau dashboard gak muncul?,"Bro, pake FinBuddy kudu bayar gak?"
"Ada yang ngalamin gak, dashboard di FinBuddy gak keluar-keluar, padahal udah buka aplikasi?",Kenapa dashboard saya kosong?,Bagaimana cara mereset kata sandi akun?
"Dashboard keuangannya ilang nih bro, gimana caranya biar balik lagi?","Dashboard gue kosong, bro, kenapa ya?",Bagaimana cara mereset kata sandi akun?
